Study Hours,Sleep Hours,Social Media,Attendance,Past Avg Score,Final Score
3.85,4.46,4.65,94.1,58.48,90.41
1.39,7.14,4.72,95.89,52.75,74.34
6.52,5.57,3.75,89.37,50.61,114.94
3.01,5.66,2.87,75.48,81.9,93.72
4.15,7.85,4.24,97.61,83.77,115.23
3.13,4.5,3.97,77.3,62.22,81.77
4.68,5.52,1.4,76.61,55.63,101.15
5.37,3.51,4.33,71.49,63.49,97.03
6.44,5.18,3.14,64.57,78.21,117.87
5.8,3.69,4.38,84.93,58.46,103.41
7.87,4.61,1.99,60.38,91.74,135.44
5.21,7.32,4.87,64.92,91.33,115.07
6.7,6.34,0.18,99.43,91.81,145.5
5.96,5.67,3.45,87.6,76.04,120.45
1.19,8.83,0.92,66.48,68.06,82.55
7.33,3.04,3.56,82.84,81.3,125.35
4.15,6.9,3.57,68.64,57.42,94.46
1.83,7.84,2.75,62.57,66.33,79.82
6.85,4.6,3.97,53.1,76.82,114.13
2.42,3.75,2.86,63.75,61.29,70.91
2.22,6.71,0.62,68.9,84.57,93.37
4.14,5.83,1.08,57.94,80.07,102.04
5.69,5.07,4.83,63.49,57.99,98.98
7.7,7.41,4.31,74.62,70.64,133.56
6.83,6.11,1.33,72.51,71.47,127.52
4.56,7.32,2.1,91.81,84.29,120.05
5.41,4.71,3.46,99.16,89.79,121.56
6.85,4.75,0.66,68.43,86.78,129.77
4.13,6.75,4.05,54.37,79.11,97.28
6.34,5.3,2.9,91.52,91.32,131.11
5.46,3.96,0.86,57.86,72.98,105.82
3.54,3.85,1.82,65.31,78.35,90.66
1.1,8.26,2.56,82.4,89.72,90.19
4.79,5.04,3.35,68.56,63.18,97.4
3.23,3.66,3.7,86.89,77.45,89.66
2.01,4.96,4.22,93.4,73.33,81.92
4.84,5.6,1.57,99.92,64.22,112.92
2.31,7.82,1.33,90.55,87.76,103.87
3.79,5.34,4.4,87.69,75.76,97.97
2.68,6.84,1.2,50.65,76.29,87.94
1.26,6.23,2.81,87.69,65.28,76.81
4.98,6.07,3.17,75.26,91.65,115.93
7.46,7.09,4.45,69.69,58.55,123.83
2.25,7.88,2.57,90.7,74.3,95.69
5.92,4.19,4.95,82.85,77.04,111.64
6.04,5.41,3.78,68.54,68.88,111.14
1.22,4.68,1.21,61.85,82.35,74.08
5.08,8.73,1.3,70.64,57.25,113.4
5.88,3.12,1.67,91.26,83.64,119.82
7.37,6.44,0.04,71.29,78.37,138.31
7.77,6.39,1.59,89.66,94.53,150.6
6.85,3.02,3.44,55.91,52.35,101.53
7.66,7.55,3.97,58.37,51.64,121.8
4.54,4.76,2.0,84.35,65.27,102.61
2.36,7.33,2.05,83.62,65.37,90.38
1.49,3.71,2.23,68.17,50.4,60.68
7.48,8.2,2.63,94.99,89.52,150.97
3.74,6.99,1.23,88.02,84.36,112.3
3.86,7.88,1.67,90.79,90.76,118.55
2.2,4.97,1.52,59.08,69.5,77.18
1.93,4.1,1.53,58.46,87.79,79.23
4.57,8.8,2.73,96.23,79.21,122.6
3.39,8.67,4.91,79.98,93.47,108.04
4.2,7.41,4.78,94.69,92.73,115.95
1.34,3.09,1.74,64.95,82.77,70.44
2.8,3.22,0.3,74.96,63.86,82.24
7.45,7.47,2.8,85.72,77.85,140.69
1.62,6.76,4.97,82.91,83.26,83.11
5.29,5.88,2.86,75.65,73.75,111.72
6.26,7.66,0.74,78.27,82.66,134.37
4.28,3.27,2.02,50.17,50.73,79.62
5.43,6.15,3.24,84.26,55.18,108.21
4.0,7.92,4.32,61.8,71.0,98.06
7.71,8.86,2.61,71.77,92.97,149.44
7.16,3.31,2.51,56.48,72.17,115.16
1.83,4.67,0.87,72.58,50.72,70.76
1.54,6.31,4.27,78.93,91.97,84.73
7.27,6.51,0.17,52.64,72.24,129.27
1.08,7.44,2.57,57.8,76.32,74.8
6.22,8.9,3.79,70.68,51.33,116.84
1.94,3.55,2.57,79.17,85.75,80.99
2.03,4.67,2.43,78.03,71.4,79.44
4.19,6.74,4.11,97.95,72.23,107.98
6.77,4.27,4.38,60.41,66.73,109.75
3.81,7.08,3.11,67.99,81.64,102.38
5.61,5.26,2.74,96.88,69.16,117.51
3.68,5.45,2.4,97.47,73.73,103.44
7.53,6.93,1.04,67.22,92.28,143.5
1.99,4.26,3.23,93.59,73.61,81.73
7.07,3.22,3.84,80.65,88.41,125.13
4.45,8.1,1.17,73.75,56.21,106.64
1.93,6.51,4.63,58.0,52.25,65.95
7.13,3.16,4.06,72.6,59.83,111.27
1.79,3.56,3.66,93.84,87.63,82.66
4.67,6.84,2.55,86.89,58.43,106.9
2.99,6.78,0.5,65.04,81.26,98.26
2.27,6.19,3.82,77.3,79.07,86.16
5.67,6.97,2.63,96.21,83.16,128.77
4.64,7.75,1.35,52.78,82.95,111.31
3.03,6.26,4.01,67.67,60.17,82.39
5.98,8.03,1.12,93.75,88.15,139.01
7.76,4.49,0.87,74.06,74.81,133.72
1.03,8.96,4.26,92.72,86.54,90.07
2.52,8.43,3.12,72.49,75.36,93.65
4.23,3.57,4.3,83.24,56.07,87.59
7.48,8.12,0.01,66.03,58.67,134.97
3.83,6.55,2.4,94.49,58.68,101.12
7.33,7.81,2.31,95.59,61.99,138.27
7.37,7.46,1.03,83.44,96.57,150.34
4.2,7.06,4.17,87.41,65.53,103.04
6.24,3.17,0.61,74.57,92.25,123.68
2.73,6.48,3.13,95.59,70.49,94.63
6.34,8.2,2.22,97.69,62.68,131.56
6.65,7.36,4.12,87.23,52.24,120.8
7.79,4.72,0.71,57.3,97.18,138.94
6.53,4.75,2.32,80.32,72.48,121.47
5.35,8.22,1.67,85.27,86.08,129.45
1.35,4.03,3.72,94.25,71.67,73.72
5.19,3.66,1.61,98.24,58.72,107.45
2.81,4.73,2.78,70.55,96.56,93.69
3.67,6.76,0.43,59.11,87.19,105.07
5.16,4.02,3.88,89.79,70.42,105.89
2.78,8.83,2.35,98.96,77.67,107.58
1.0,6.49,4.25,91.05,89.37,83.06
2.44,8.85,2.13,90.64,95.0,109.43
3.63,5.36,4.27,69.79,79.71,93.08
4.5,3.91,3.45,70.69,62.63,91.55
4.06,4.09,4.35,52.69,86.08,90.33
3.97,4.23,4.37,89.54,76.17,96.98
3.04,4.47,4.86,65.69,84.2,84.46
5.73,4.76,3.7,53.16,64.21,100.08
5.13,8.11,3.91,76.92,62.52,110.72
6.97,6.28,0.9,65.05,78.19,130.53
1.04,4.91,1.17,68.04,81.87,74.92
1.58,5.95,0.56,97.44,58.02,83.38
4.62,5.51,1.92,84.6,94.28,117.33
2.91,3.95,2.95,70.4,55.96,75.62
4.75,6.55,3.75,52.67,61.03,95.08
1.82,6.3,2.6,76.5,76.07,83.43
6.69,4.92,4.99,90.08,95.82,130.39
7.44,6.65,4.03,89.56,54.72,127.55
7.95,6.93,0.27,87.61,92.88,155.21
2.69,7.65,2.32,89.2,76.2,99.78
6.14,5.28,4.23,50.3,61.45,102.27
1.35,5.78,3.05,54.52,73.15,69.06
3.01,7.57,3.61,98.71,91.67,108.86
6.73,7.55,4.97,50.23,88.4,123.68
4.21,6.31,1.72,60.92,79.11,103.27
3.9,7.71,2.7,81.56,85.25,111.37
2.87,5.2,2.47,77.95,91.0,96.24
1.99,5.33,3.01,93.86,81.55,88.71
5.95,3.01,3.16,71.68,59.42,101.56
3.9,3.44,1.42,70.73,97.09,102.66
4.27,6.07,3.82,60.55,65.73,93.49
3.74,4.02,4.54,64.95,78.57,87.6
3.2,8.18,0.53,60.88,61.76,95.26
3.35,8.38,1.4,92.87,87.34,115.3
1.51,5.96,3.66,76.62,63.29,72.42
5.83,4.1,0.32,77.42,83.96,120.98
1.86,7.46,2.57,58.9,95.64,89.92
5.24,3.07,1.88,61.77,70.36,99.31
7.02,5.67,3.25,77.25,95.04,134.85
1.09,4.75,1.28,85.41,94.43,84.9
5.63,3.63,1.08,61.76,82.54,110.94
2.49,4.83,2.02,96.67,91.3,98.36
5.45,6.08,0.64,83.93,89.52,126.95
2.81,7.16,1.31,81.77,87.08,103.55
1.41,8.51,0.14,75.24,90.54,96.71
3.04,4.21,2.22,60.11,64.65,79.42
7.85,4.95,0.68,60.28,70.83,130.53
3.28,6.07,4.36,85.81,57.14,87.65
1.84,7.79,3.92,54.08,75.95,78.71
4.52,5.72,4.21,73.77,76.06,101.96
4.68,6.96,1.2,94.94,65.5,115.26
7.25,4.03,2.07,53.26,65.78,115.49
6.45,7.29,1.78,89.43,73.58,132.59
1.7,8.29,4.17,57.0,76.31,79.49
2.61,4.76,2.74,77.77,70.76,83.88
4.69,3.46,0.15,69.65,81.34,105.7
6.28,3.29,1.18,87.53,94.41,128.01
