Study Hours,Sleep Hours,Social Media,Attendance,Past Avg Score,actual_score,predicted_score
3.84,3.76,4.88,60.17,92.2,91.01,91.01058961842082
6.65,8.1,1.33,69.65,91.14,138.83,138.8419518652511
7.25,3.66,0.69,82.97,74.39,129.53,129.49710230391474
2.43,7.39,1.39,65.86,86.67,95.65,95.68618431705607
2.48,6.84,0.25,92.06,84.05,103.54,103.57875398226878
3.59,4.15,1.0,98.12,75.38,102.33,102.34828665138939
5.86,8.84,2.18,91.68,55.64,124.65,124.66070362364101
7.38,8.6,0.5,66.54,71.2,139.71,139.6625193415741
5.6,8.31,1.82,66.15,79.33,123.25,123.267482656039
7.7,7.87,4.04,62.65,97.8,142.76,142.7459698918365
2.09,8.81,2.43,67.45,55.97,82.99,83.00266320183398
3.4,5.15,4.31,70.15,88.64,93.92,93.93100209534379
7.89,8.79,4.31,53.03,74.56,134.47,134.4932908352755
5.99,5.03,1.47,95.44,76.96,125.48,125.4766510878668
7.53,6.93,0.53,76.35,80.24,142.5,142.50172276454802
4.8,5.78,0.94,56.39,63.2,100.88,100.8562363396002
6.68,8.08,4.98,52.77,87.09,125.05,125.0673513301411
3.43,6.45,0.57,60.81,62.23,92.22,92.21433183011463
7.62,4.37,3.42,71.11,51.75,116.88,116.88233764394387
3.66,4.87,3.21,62.33,62.01,84.59,84.63207163105874
1.5,3.08,0.6,67.98,69.7,69.84,69.81289403805998
4.35,8.42,1.43,66.93,86.92,116.44,116.39760364888511
5.01,3.04,4.79,77.76,69.2,95.58,95.63745953228657
5.33,4.8,1.96,68.72,51.31,99.59,99.58912894660735
5.92,4.26,1.46,85.78,83.2,122.14,122.15438986694221
6.06,3.23,3.15,68.37,84.46,112.22,112.22474287377598
1.54,4.17,4.86,94.32,50.68,65.27,65.21731901190907
1.82,3.37,0.99,83.5,73.31,78.9,78.88350442304328
7.42,5.53,3.86,81.03,82.46,132.92,132.94361089563708
4.57,8.89,0.92,63.25,95.45,123.09,123.11583701084538
3.19,8.05,0.19,62.42,63.86,96.76,96.74970399083574
